DMP_PostNL::Only for dutch shipments,Only for dutch shipments
"DMP_PostNL::Only for dutch shipments, shipments to outside of the EU are standard ensured up to &euro 200","Only for dutch shipments, shipments to outside of the EU are standard ensured up to &euro 200"

DMP_PostNL::status_1,Concept
DMP_PostNL::status_2,Registered
DMP_PostNL::status_3,Enroute - handed to carrier
DMP_PostNL::status_4,Enroute - Sorting
DMP_PostNL::status_5,Enroute - Distribution
DMP_PostNL::status_6,Enroute - Customs
DMP_PostNL::status_7,Delivered - At recipient
DMP_PostNL::status_8,Delivered - Ready for pickup
DMP_PostNL::status_9,Delivered - Package picked up
DMP_PostNL::status_10,Delivered - Return shipment
DMP_PostNL::status_11,Delivered - Return shipment pickup location
DMP_PostNL::status_12,Unrelated label printed
DMP_PostNL::status_13,Credited
DMP_PostNL::status_30,Inactive - Concept
DMP_PostNL::status_31,Inactive - Registered
DMP_PostNL::status_32,Inactive - Enroute - Handed to carrier
DMP_PostNL::status_33,Inactive - Enroute - Sorting
DMP_PostNL::status_34,Inactive - Enroute - Distribution
DMP_PostNL::status_35,Inactive - Enroute - Customs
DMP_PostNL::status_36,Inactive - Delivered - At recipient
DMP_PostNL::status_37,Inactive - Delivered - Ready for pickup
DMP_PostNL::status_38,Inactive - Delivered - Package picked up
DMP_PostNL::status_39,Inactive - Return shipment delivered
DMP_PostNL::status_40,Inactive - Return shipment pickup location
DMP_PostNL::status_99,Inactive - Unknown

DMP_PostNL::PostNL location:,to PostNL location:
DMP_PostNL::deliver:,deliver:
DMP_PostNL::TYPE_morning,Morning
DMP_PostNL::TYPE_night,Avondlevering
DMP_PostNL::TYPE_retailexpress,Extra vroeg ophalen
