DMP_PostNL2014::To get your personal API credentials you should contact us.,Neem contact met ons op om de API gegevens te ontvangen.
DMP_PostNL2014::API settings,API Instellingen
DMP_PostNL2014::Wrong API key. Go to PostNL settings to set the API key.,Verkeerde API key. Ga naar de instellingen van de PostNL plugin om de juiste API key in te vullen.
DMP_PostNL2014::Version &amp; Support,Versie &amp; Support
DMP_PostNL2014::The log files cannot be downloaded.,De logbestanden kunnen niet gedownload worden.
DMP_PostNL2014::An error occurred while processing this action.,Er is een fout opgetreden tijdens het verwerken van deze actie.
DMP_PostNL2014::The shipments were successfully created.,De verzendingen zijn succesvol aangemaakt
DMP_PostNL2014::None of the shipments could be created. Please check the error messages for more details.,Geen van de verzendingen konden aangemaakt worden. Controleer de foutmeldingen in de logbestanden voor details.
DMP_PostNL2014::Please select one or more shipments.,Selecteer &eacute;&eacute;n of meerdere verzendingen.
DMP_PostNL2014::Please select one or more orders.,Selecteer &eacute;&eacute;n of meerdere orders.
DMP_PostNL2014::PostNL replied with the following warnings:,PostNL heeft geantwoord met de volgende waarschuwingen:
DMP_PostNL2014::The following shipments or orders could not be processed:,De volgende verzendingen konden niet verwerkt worden:
DMP_PostNL2014::Order #%s cannot be shipped at this time.,Order #%s kan niet verzonden worden op dit moment
DMP_PostNL2014::Invalid full street supplied: %s.,Invalide volledige straatnaam opgegeven: %s.
DMP_PostNL2014::Address is too long. Make the delivery address less than 40 characters. Click on send (in the order detail page) to create a concept.,Adres is te lang. Maak het bezorgadres korter dan 40 tekens.
DMP_PostNL2014::Something went wrong with splitting up address %s.,Er is iets fout gegaan met het opsplitsen van adres %s.
DMP_PostNL2014::Something went wrong with splitting up housenumber %s.,Er is iets fout gegaan met het opsplitsen van huisnummer %s.
DMP_PostNL2014::Invalid housnumber supplied: %s.,Invalide huisnummer opgegeven: %s
DMP_PostNL2014::Invalid session requested.,Invalide sessie opgevraagd
DMP_PostNL2014::Invalid message type requested: %s.,Invalide bericht-type opgevraagd: %s
DMP_PostNL2014::No message supplied.,Geen bericht meegegeven
DMP_PostNL2014::No message type supplied.,Geen bericht-type meegegeven
DMP_PostNL2014::Click here for more information from the TiG knowledgebase.,Klik hier voor meer informatie van de TIG kennisbank.
DMP_PostNL2014::An error occurred while processing your request: ,Er is een fout opgetreden tijdens het verwerken van dit verzoek:
DMP_PostNL2014::The createConsignment action is currently unavailable.,De createConsigment actie is tijdelijk niet beschikbaar
DMP_PostNL2014::Invalid createConsignment response.,Invalide createConsignment antwoord
DMP_PostNL2014::Streetname is to long: %s.,Straatnaam is te lang: %s (gebruikt maximaal 40 letters)
DMP_PostNL2014::Shipping status,Verzend status
DMP_PostNL2014::PostNL - Create Shipments,PostNL - Cre&euml;er verzendingen
DMP_PostNL2014::PostNL - Print shipping labels,PostNL - Print verzend labels
DMP_PostNL2014::Download log files,Download log bestanden
DMP_PostNL2014::Unknown rate type specified: %s.,Onbekend tarief type opgegeven: %s.
DMP_PostNL2014::Flat,Plat
DMP_PostNL2014::Table,Tabel
DMP_PostNL2014::Invalid PakjeGemak address.,Ongeldig PostNL locatie adres.
DMP_PostNL2014::Invalid phone number.,Invalide telefoonnummer.
DMP_PostNL2014::Invalid housenumber extension.,Invalide huisnummer extensie.
DMP_PostNL2014::A4,A4
DMP_PostNL2014::A6,A6
DMP_PostNL2014::Commercial Goods,Commerciele goederen
DMP_PostNL2014::Commercial Sample,Commercieel Proef
DMP_PostNL2014::Documents,Documenten
DMP_PostNL2014::Gift,Gift
DMP_PostNL2014::Returned Goods,Retour goederen
DMP_PostNL2014::Yes,Ja
DMP_PostNL2014::No,Nee
DMP_PostNL2014::Postnl Consignment Options,PostNL Verzend Opties
DMP_PostNL2014::Insured amount,Verzekerd bedrag
DMP_PostNL2014::Insured,Verzekerd
DMP_PostNL2014::PostNL version %s,PostNL versie %s
DMP_PostNL2014::Magento &amp; 3rd party version compatibility,Magento &amp; derde partijen ondersteuning
DMP_PostNL2014::Magento Community Edition version,Magento Community Edition versie
DMP_PostNL2014::Magento Enterprise Edition version,Magento Enterprise Edition versie
DMP_PostNL2014::Idev's OneStepCheckout version,Idev's OneStepCheckout versie
DMP_PostNL2014::IWD's OnePageCheckout version,IWD's OnePageCheckout versie
DMP_PostNL2014::Support,Ondersteuning
DMP_PostNL2014::The extension is developed by Total Internet Group.,Deze extensie is ontwikkeld door Total Internet Group.
DMP_PostNL2014::Account questions and information,Account vragen en informatie
"DMP_PostNL2014::For questions related to your account, configuration problems, extension conflicts and bugs, please contact us.","Voor vragen gerelateerd aan uw account, configuratie problemen, extensie conflicten en bugs, neemt u contact op met ons."
DMP_PostNL2014::Phone,Telefoon
DMP_PostNL2014::Online knowledgebase,Online kennisbank
DMP_PostNL2014::Request help directly,Vraag direct hulp
DMP_PostNL2014::Email,E-mail
DMP_PostNL2014::Documentation,Documentatie
